epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.714,1.08447,2.37913,1.46037,0.57838,0.64613,0.63156,0.4228,0.98886,2.68657,1.41325,0.000332928,0.000332928,0.000332928
2,288.216,1.1102,1.72739,1.46067,0.65251,0.70906,0.71867,0.49984,0.89926,1.8184,1.33611,0.00065307,0.00065307,0.00065307
3,411.576,1.11101,1.48782,1.45489,0.78741,0.80281,0.86181,0.6001,0.90378,2.15486,1.31869,0.000960011,0.000960011,0.000960011
4,538.275,1.0692,1.33334,1.41431,0.79327,0.77928,0.85419,0.62988,0.81479,1.00977,1.21866,0.0009406,0.0009406,0.0009406
5,662.897,1.01783,1.20729,1.37498,0.81454,0.8063,0.88816,0.6899,0.73327,0.87573,1.15436,0.0009208,0.0009208,0.0009208
6,783.888,0.99538,1.12668,1.35863,0.83958,0.85795,0.9093,0.68507,0.76413,1.0033,1.1726,0.000901,0.000901,0.000901
7,911.838,0.96274,1.04459,1.329,0.7971,0.84371,0.89592,0.6726,0.79831,0.86966,1.22174,0.0008812,0.0008812,0.0008812
8,1027.61,0.94924,1.03165,1.32221,0.85579,0.88575,0.92628,0.71366,0.72479,0.7701,1.1305,0.0008614,0.0008614,0.0008614
9,1146.53,0.91435,0.97243,1.30201,0.86159,0.86313,0.92657,0.71882,0.70877,0.90112,1.10063,0.0008416,0.0008416,0.0008416
10,1266.91,0.9,0.91641,1.28861,0.83508,0.89604,0.94608,0.75276,0.68566,0.61287,1.09011,0.0008218,0.0008218,0.0008218
11,1389.71,0.88623,0.88765,1.27857,0.89778,0.89937,0.95395,0.77437,0.6355,0.50882,1.04685,0.000802,0.000802,0.000802
12,1514.64,0.87766,0.86017,1.26805,0.85492,0.89148,0.94645,0.75731,0.66517,0.54397,1.06152,0.0007822,0.0007822,0.0007822
13,1638.93,0.85491,0.83106,1.258,0.92449,0.88648,0.95744,0.78649,0.62839,0.52021,1.04668,0.0007624,0.0007624,0.0007624
14,1758.57,0.85867,0.81971,1.25325,0.92342,0.90939,0.96401,0.78836,0.63446,0.50912,1.04142,0.0007426,0.0007426,0.0007426
15,1882.12,0.8337,0.78199,1.2372,0.92463,0.92829,0.96894,0.8041,0.60895,0.50782,1.03196,0.0007228,0.0007228,0.0007228
16,2008.55,0.81848,0.75504,1.23127,0.91441,0.91823,0.96341,0.79837,0.60329,0.49915,1.01697,0.000703,0.000703,0.000703
17,2134.55,0.81738,0.74365,1.22662,0.92184,0.93113,0.96781,0.81391,0.57842,0.43648,1.00513,0.0006832,0.0006832,0.0006832
18,2252.47,0.81341,0.72341,1.21966,0.92267,0.90905,0.96796,0.81617,0.57312,0.61324,0.99632,0.0006634,0.0006634,0.0006634
19,2378.31,0.802,0.71183,1.22138,0.92151,0.93435,0.97306,0.80536,0.60711,0.41814,1.01978,0.0006436,0.0006436,0.0006436
20,2500.84,0.78845,0.71154,1.21271,0.93987,0.9248,0.97802,0.82207,0.57061,0.40986,0.9922,0.0006238,0.0006238,0.0006238
21,2621.73,0.78439,0.67548,1.20818,0.94237,0.9376,0.97509,0.82413,0.56805,0.43018,0.99219,0.000604,0.000604,0.000604
22,2739.77,0.78146,0.68313,1.20291,0.93194,0.94199,0.97853,0.82471,0.57647,0.46249,0.99042,0.0005842,0.0005842,0.0005842
23,2860.11,0.75684,0.66135,1.19444,0.93638,0.94559,0.97891,0.81436,0.582,0.39686,0.98701,0.0005644,0.0005644,0.0005644
24,2978.76,0.76053,0.65815,1.19095,0.95326,0.95325,0.98082,0.82633,0.56604,0.38765,0.97763,0.0005446,0.0005446,0.0005446
25,3100.82,0.75151,0.63597,1.18301,0.9525,0.94777,0.98087,0.83796,0.55049,0.363,0.96515,0.0005248,0.0005248,0.0005248
26,3222.18,0.75739,0.63491,1.18879,0.94107,0.94744,0.97911,0.84016,0.54726,0.36548,0.97166,0.000505,0.000505,0.000505
27,3344.58,0.73864,0.61087,1.17943,0.93716,0.96012,0.98248,0.84079,0.54032,0.36353,0.95895,0.0004852,0.0004852,0.0004852
28,3469.62,0.73489,0.60468,1.17002,0.95332,0.95096,0.98542,0.84114,0.54889,0.35268,0.95846,0.0004654,0.0004654,0.0004654
29,3593.62,0.72775,0.58762,1.16805,0.9456,0.96903,0.98646,0.85048,0.53436,0.35955,0.95307,0.0004456,0.0004456,0.0004456
30,3713.76,0.71283,0.57252,1.15179,0.94584,0.95546,0.98107,0.8496,0.52155,0.32464,0.94296,0.0004258,0.0004258,0.0004258
31,3836.8,0.71893,0.57333,1.15775,0.9417,0.96423,0.98439,0.84916,0.52919,0.34144,0.95588,0.000406,0.000406,0.000406
32,3955.93,0.70963,0.55415,1.15253,0.96046,0.95334,0.98352,0.85172,0.52459,0.35928,0.94753,0.0003862,0.0003862,0.0003862
33,4079.78,0.71012,0.55819,1.15082,0.95987,0.9573,0.98348,0.85337,0.52252,0.3285,0.94096,0.0003664,0.0003664,0.0003664
34,4204.06,0.69436,0.54195,1.14469,0.96172,0.95741,0.98683,0.86127,0.51382,0.30792,0.93865,0.0003466,0.0003466,0.0003466
35,4323.35,0.68675,0.53485,1.13355,0.94915,0.9603,0.98472,0.85819,0.52532,0.30816,0.94288,0.0003268,0.0003268,0.0003268
36,4447.85,0.68369,0.53215,1.1365,0.96158,0.96729,0.98422,0.85933,0.51726,0.30593,0.93704,0.000307,0.000307,0.000307
37,4569.92,0.67571,0.51915,1.13003,0.96369,0.96005,0.98773,0.85966,0.52396,0.29673,0.93895,0.0002872,0.0002872,0.0002872
38,4688.63,0.6705,0.50924,1.12865,0.96814,0.96959,0.98691,0.86478,0.51619,0.30558,0.93835,0.0002674,0.0002674,0.0002674
39,142.469,0.66538,0.50114,1.12502,0.95887,0.9655,0.98716,0.86216,0.51228,0.29153,0.93039,0.0002476,0.0002476,0.0002476
40,266.112,0.65511,0.49043,1.11712,0.96825,0.96484,0.98968,0.87161,0.48971,0.28208,0.91092,0.0002278,0.0002278,0.0002278
41,392.295,0.56733,0.35612,1.08429,0.96132,0.96187,0.98798,0.86842,0.50247,0.29054,0.9243,0.000208,0.000208,0.000208
42,518.619,0.55836,0.34053,1.08308,0.97487,0.95958,0.98895,0.87773,0.47887,0.27208,0.90628,0.0001882,0.0001882,0.0001882
43,638.164,0.55223,0.33044,1.07061,0.97038,0.96106,0.9885,0.87283,0.48742,0.27549,0.90989,0.0001684,0.0001684,0.0001684
44,760.145,0.53674,0.32178,1.0585,0.96735,0.96976,0.98949,0.87284,0.4822,0.29338,0.90802,0.0001486,0.0001486,0.0001486
45,880.356,0.53099,0.31332,1.05135,0.96682,0.97418,0.98902,0.8761,0.48487,0.26993,0.90946,0.0001288,0.0001288,0.0001288
46,1001.55,0.52194,0.30247,1.05626,0.965,0.97381,0.99049,0.88236,0.47282,0.25854,0.90331,0.000109,0.000109,0.000109
47,1126.03,0.51529,0.29561,1.04084,0.97472,0.97625,0.99042,0.88514,0.47023,0.25516,0.90124,8.92e-05,8.92e-05,8.92e-05
48,1248.26,0.50175,0.28844,1.03363,0.9729,0.97105,0.9905,0.88891,0.46612,0.24816,0.89993,6.94e-05,6.94e-05,6.94e-05
49,1375.02,0.49788,0.285,1.03017,0.97459,0.97666,0.99054,0.88305,0.4733,0.24829,0.90061,4.96e-05,4.96e-05,4.96e-05
50,1495.16,0.49262,0.27717,1.0189,0.97821,0.97488,0.98959,0.88432,0.46922,0.24614,0.89826,2.98e-05,2.98e-05,2.98e-05
