epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.191,0.46648,1.42635,1.06169,0.97221,0.81148,0.8525,0.81,0.2948,0.57898,0.92763,0.00333102,0.00333102,0.00333102
2,517.071,0.50636,0.82707,1.05214,0.87528,0.90435,0.93398,0.8828,0.30523,0.45622,0.93932,0.0065324,0.0065324,0.0065324
3,784.572,0.53543,0.66673,1.05827,0.8862,0.89065,0.90768,0.862,0.31116,0.37219,0.94495,0.00960178,0.00960178,0.00960178
4,1023.23,0.50565,0.5524,1.04852,0.92716,0.92242,0.94969,0.90998,0.27126,0.29115,0.9162,0.009406,0.009406,0.009406
5,247.071,0.45858,0.46257,1.02842,0.87559,0.92127,0.91536,0.88546,0.25536,0.27789,0.90563,0.009208,0.009208,0.009208
6,466.505,0.42978,0.42765,1.01856,0.94036,0.9544,0.97814,0.95465,0.22613,0.22773,0.89488,0.00901,0.00901,0.00901
7,699.205,0.40684,0.38926,1.00608,0.92479,0.93415,0.94527,0.92965,0.20324,0.19992,0.87424,0.008812,0.008812,0.008812
8,916.648,0.39071,0.36973,1.00009,0.97138,0.96664,0.98866,0.97353,0.2003,0.17329,0.87009,0.008614,0.008614,0.008614
9,1134.69,0.38281,0.35738,0.99773,0.96589,0.97545,0.98936,0.97619,0.19133,0.17409,0.8635,0.008416,0.008416,0.008416
10,1367.9,0.3735,0.34304,0.99262,0.98524,0.96614,0.98507,0.97314,0.18212,0.15254,0.86291,0.008218,0.008218,0.008218
11,1597.67,0.36828,0.33652,0.99226,0.9653,0.97711,0.98952,0.97899,0.17679,0.15201,0.85351,0.00802,0.00802,0.00802
12,1830.51,0.35674,0.32493,0.98525,0.98336,0.98914,0.99094,0.98112,0.16971,0.13892,0.84931,0.007822,0.007822,0.007822
13,2072.26,0.34982,0.31747,0.98056,0.98877,0.97512,0.98982,0.98081,0.16311,0.13991,0.84752,0.007624,0.007624,0.007624
14,2305.66,0.34637,0.30619,0.98079,0.99304,0.98945,0.99246,0.98202,0.16132,0.12461,0.84791,0.007426,0.007426,0.007426
15,2544.49,0.34252,0.30289,0.97881,0.99686,0.98062,0.99243,0.98294,0.15504,0.12345,0.84368,0.007228,0.007228,0.007228
16,2802.59,0.33952,0.29487,0.97836,0.9888,0.98894,0.99371,0.98508,0.15722,0.12082,0.84257,0.00703,0.00703,0.00703
17,3062.67,0.33358,0.29259,0.97298,0.99595,0.9794,0.99291,0.98365,0.1474,0.11838,0.83918,0.006832,0.006832,0.006832
18,3315.65,0.33094,0.28462,0.97242,0.98526,0.99829,0.99452,0.98634,0.14744,0.11385,0.83669,0.006634,0.006634,0.006634
19,3540.72,0.32617,0.28342,0.97018,0.99259,0.99791,0.99442,0.98639,0.14748,0.10972,0.83745,0.006436,0.006436,0.006436
20,3792.82,0.32424,0.27952,0.97145,0.99044,0.99373,0.99477,0.98722,0.14329,0.10662,0.83739,0.006238,0.006238,0.006238
21,4066.79,0.31566,0.2727,0.96649,0.99745,0.99404,0.99487,0.98858,0.14065,0.10349,0.83035,0.00604,0.00604,0.00604
22,4326.84,0.31224,0.26907,0.96407,0.99763,0.99393,0.99482,0.98796,0.13945,0.10108,0.82979,0.005842,0.005842,0.005842
23,4591.92,0.31205,0.26572,0.96477,0.99581,0.99939,0.99496,0.98858,0.13161,0.09979,0.82386,0.005644,0.005644,0.005644
24,4889.28,0.31036,0.26423,0.96516,0.99472,0.99904,0.99489,0.98877,0.13303,0.0955,0.82648,0.005446,0.005446,0.005446
25,5201.42,0.30276,0.26006,0.96097,0.99736,0.99297,0.99463,0.98855,0.13356,0.0942,0.82804,0.005248,0.005248,0.005248
26,5496.8,0.30461,0.26092,0.96309,0.99717,0.99373,0.99488,0.98894,0.13037,0.09307,0.82353,0.00505,0.00505,0.00505
27,5832.82,0.30058,0.25099,0.96032,0.99718,0.99807,0.99496,0.98933,0.12825,0.09098,0.82247,0.004852,0.004852,0.004852
28,247.738,0.29411,0.24802,0.95843,0.99766,0.9937,0.99487,0.98966,0.12402,0.08914,0.81978,0.004654,0.004654,0.004654
29,465.712,0.29461,0.25054,0.95746,0.99714,0.99819,0.99495,0.98939,0.12371,0.0911,0.82048,0.004456,0.004456,0.004456
30,676.863,0.29263,0.24695,0.95722,0.99668,0.99877,0.99493,0.98935,0.12381,0.0881,0.81861,0.004258,0.004258,0.004258
31,890.783,0.28736,0.24174,0.95527,0.99735,0.99367,0.99487,0.98913,0.12272,0.08643,0.81715,0.00406,0.00406,0.00406
32,1104.23,0.28551,0.24162,0.95379,0.99684,0.99878,0.99497,0.98922,0.12055,0.08476,0.8155,0.003862,0.003862,0.003862
33,1319.43,0.28766,0.24164,0.95476,0.99697,0.99856,0.99497,0.98978,0.11934,0.08429,0.81477,0.003664,0.003664,0.003664
34,1532.1,0.2821,0.23464,0.95364,0.99787,0.99804,0.99498,0.9905,0.11838,0.08433,0.81445,0.003466,0.003466,0.003466
35,1748.68,0.28048,0.23077,0.95089,0.99832,0.99763,0.99498,0.99051,0.11683,0.08369,0.81115,0.003268,0.003268,0.003268
36,2040.78,0.27699,0.22704,0.94877,0.998,0.99763,0.99498,0.99053,0.11596,0.08284,0.81036,0.00307,0.00307,0.00307
37,2314.72,0.27168,0.22237,0.94783,0.99798,0.99763,0.99499,0.9907,0.11578,0.08139,0.80976,0.002872,0.002872,0.002872
38,2579.74,0.27229,0.22295,0.94974,0.99788,0.99765,0.99499,0.99124,0.11484,0.07999,0.80841,0.002674,0.002674,0.002674
39,2847.55,0.26962,0.22131,0.94674,0.99793,0.99766,0.995,0.99107,0.11471,0.08049,0.80804,0.002476,0.002476,0.002476
40,3100.87,0.26465,0.21399,0.94291,0.99804,0.99763,0.99499,0.99115,0.115,0.08035,0.80779,0.002278,0.002278,0.002278
41,3408.15,0.1483,0.12046,0.8471,0.99796,0.99767,0.99499,0.99133,0.1143,0.07932,0.80683,0.00208,0.00208,0.00208
42,3673.12,0.14186,0.11277,0.84276,0.99764,0.99826,0.99499,0.99159,0.11373,0.07801,0.80637,0.001882,0.001882,0.001882
43,3914.66,0.13727,0.10872,0.83828,0.99766,0.99821,0.99498,0.99169,0.11263,0.0771,0.80547,0.001684,0.001684,0.001684
44,4179.21,0.13354,0.10106,0.83726,0.99769,0.99813,0.99498,0.99191,0.11162,0.07561,0.80481,0.001486,0.001486,0.001486
45,4400.01,0.12871,0.09926,0.83269,0.99772,0.99812,0.99498,0.99203,0.1112,0.0756,0.80458,0.001288,0.001288,0.001288
46,4661.68,0.1244,0.09401,0.83084,0.99777,0.99805,0.99498,0.99189,0.11109,0.07451,0.80456,0.00109,0.00109,0.00109
